bairro,q,n_airbnb,rec_an_old,adr_med,occ_le15_med,occ_forward_med,occ_fwd_cel,rec_91d_novo,rec_an_novo,rec_an_med,n_viva,preco_med,area_med,rsm2_med,condo_med,iptu_med,conclusivo,indicativo,condo_ano,iptu_ano,custo_cond_iptu,custo_op,rec_liq_an,yield_bruto,yield_liq,yield_liq_adm,yl_antes,yl_depois,yb_antes,yb_depois,rank_antes,rank_depois,mudanca
Morretes,2,43.0,85719.703553,465.273662,0.8125,0.40796,0.426938,18076.530609,59986.271575,59986.271575,1044.0,790000.0,69.0,11551.333083,350.0,700.0,True,False,4200.0,700.0,4900.0,5998.627157,49087.644417,0.075932,0.062136,0.04695,0.091453,0.062136,0.108506,0.075932,1,1,=
Meia Praia,1,16.0,86418.107205,484.086207,0.90625,0.40796,0.476201,20977.511601,69613.06542,69613.06542,58.0,877500.0,40.0,21250.0,727.5,1000.0,False,True,8730.0,1000.0,9730.0,6961.306542,52921.758878,0.079331,0.06031,0.044443,0.077546,0.06031,0.098482,0.079331,4,2,4>2
Tabuleiro Dos Oliveiras,2,12.0,84780.786723,439.982537,0.8125,0.40796,0.426938,17093.935107,56725.566193,56725.566193,106.0,781919.5,69.0,11502.184265,350.0,850.0,False,True,4200.0,850.0,5050.0,5672.556619,46003.009574,0.072547,0.058833,0.044324,0.091125,0.058833,0.108426,0.072547,2,3,2>3
Centro,2,59.0,92310.997522,642.82,0.8125,0.40796,0.426938,24974.45341,82876.763084,82876.763084,89.0,1150000.0,86.0,13068.181818,500.0,1000.0,True,False,6000.0,1000.0,7000.0,8287.676308,67589.086775,0.072067,0.058773,0.04436,0.066156,0.058773,0.08027,0.072067,5,4,5>4
Meia Praia,2,126.0,86045.911512,474.060561,0.96875,0.40796,0.509042,21959.820363,72872.819267,72872.819267,244.0,1075000.0,85.0,12929.347826,500.0,980.0,True,False,6000.0,980.0,6980.0,7287.281927,58605.53734,0.067789,0.054517,0.040959,0.065545,0.054517,0.080043,0.067789,6,5,6>5
Centro,1,75.0,85343.161942,455.130952,0.8125,0.40796,0.426938,17682.472178,58678.603828,58678.603828,22.0,890000.0,42.0,14574.275362,500.0,1000.0,False,True,6000.0,1000.0,7000.0,5867.860383,45810.743445,0.065931,0.051473,0.038287,0.078437,0.051473,0.095891,0.065931,3,6,3>6
Meia Praia,3,284.0,94172.279471,692.956406,0.875,0.40796,0.45978,28993.270615,96213.05341,96213.05341,1704.0,1884860.0,129.0,14957.264957,600.0,1500.0,True,False,7200.0,1500.0,8700.0,9621.305341,77891.748069,0.051045,0.041325,0.031116,0.040351,0.041325,0.049962,0.051045,7,7,=
Centro,3,38.0,95735.604797,735.066907,0.90625,0.40796,0.476201,31853.571412,105704.851592,105704.851592,438.0,2100000.0,131.0,15789.473684,617.0,1300.0,True,False,7404.0,1300.0,8704.0,10570.485159,86430.366433,0.050336,0.041157,0.03109,0.036885,0.041157,0.045588,0.050336,8,8,=
Meia Praia,4,44.0,104846.840468,980.491634,0.875,0.40796,0.45978,41023.733974,136135.683356,136135.683356,1408.0,3700000.0,190.0,18617.021277,950.0,3000.0,True,False,11400.0,3000.0,14400.0,13613.568336,108122.115021,0.036793,0.029222,0.021864,0.021611,0.029222,0.028337,0.036793,9,9,=
