bairro,q,n_ab,n_vr,adr,occ_alta,preco,status,yl_base,yl_A_occ80,yl_B_f60,yl_C_adm20,yl_COMB,r_base,r_A,r_B,r_C,r_COMB,celula
Morretes,2,43,1044,465.27366246913584,0.8125,790000.0,OK,0.05833965928902296,0.04543122110210445,0.04838411503531966,0.04315326142206,0.027191652206268537,1,1,1,1,1,Morretes-2Q
Centro,2,59,89,642.82,0.8125,1150000.0,OK,0.05516978140966352,0.04291843382338299,0.0457210137666251,0.040756431308157016,0.025607331184083704,4,2,3,2,2,Centro-2Q
Tabuleiro Dos Oliveiras,2,12,106,439.98253676470586,0.8125,781919.5,IND,0.05520610659323844,0.04287319220388462,0.045694431113801046,0.04069679554693984,0.02544683601471934,3,3,4,3,3,Tabuleiro Dos Oliveiras-2Q
Meia Praia,1,16,58,484.0862068965517,0.90625,877500.0,IND,0.0563431402931441,0.042856848416851466,0.045941930352126306,0.040476914556329235,0.023800774687012208,2,4,2,4,4,Meia Praia-1Q
Meia Praia,2,126,244,474.0605605605606,0.96875,1075000.0,OK,0.05112734546692655,0.03960327172237846,0.04223948277699592,0.03756961164981114,0.02331980396425797,5,5,5,5,5,Meia Praia-2Q
Centro,1,75,22,455.1309523809524,0.8125,890000.0,IND,0.04817619466689812,0.036967922025653334,0.039531891407920995,0.03498999155955131,0.02113067989898987,6,6,6,6,6,Centro-1Q
Centro,3,38,438,735.0669066076043,0.90625,2100000.0,OK,0.038640535168374665,0.030083475753747355,0.03204096189310246,0.028573406445283715,0.01799238677157865,8,8,8,7,7,Centro-3Q
Meia Praia,3,284,1704,692.9564064194578,0.875,1884860.0,OK,0.03877269155192645,0.0300950077559348,0.03208008755137523,0.028563651791936276,0.017833477029958394,7,7,7,8,8,Meia Praia-3Q
Meia Praia,4,44,1408,980.4916337285904,0.875,3700000.0,OK,0.0273825218521303,0.021127639103325862,0.022558486511390665,0.02002383626530155,0.012289516072469205,9,9,9,9,9,Meia Praia-4Q
