lead,avail,total,ocupacao
0-15,2906,12480,0.767147435897436
16-30,5132,11700,0.5613675213675213
31-45,7362,11700,0.37076923076923074
46-60,8198,11700,0.2993162393162393
61-75,9455,11700,0.19188034188034186
76-90,8970,11700,0.23333333333333328
